Opcode,Description,Ruby Method,,,,,,,
0x21,Wipe Filesystem,wipe_filesystem,,,,,,,
0x24,Uploading a Font File,,,,,,,,
0x26,Poll Key Press,,,,,,,,
0x30,Dump the Filesystem,,,,,,,,
0x31,Setting the Current Font,font=,,,,,,,
0x32,Font Metrics ,,,,,,,,
0x33,Set I2C address,i2c_slave_address=,,,,,,,
0x34,Write Customer Data ,,,,,,,,
0x35,Read Customer Data ,,,,,,,,
0x36,Read Version Number ,firmware_version,,,,,,,
0x37,Read Module Type ,lcd_type,,,,,,,
0x39,Changing the Baud Rate ,lcd_baudrate=,,,,,,,
0x3A,Turn Flow Control On ,flow_control=,,,,,,,
0x3B,Turn Flow Control Off ,flow_control=,,,,,,,
0x41,Auto Transmit Key Presses On ,auto_transmit_key_presses=,,,,,,,
0x42,Display On ,backlight=,,,,,,,
0x45,Clear Key Buffer ,clear_key_buffer,,,,,,,
0x46,Display Off ,backlight=,,,,,,,
0x47,Setting the Cursor Position ,cursor_position=,,,,,,,
0x48,Move Cursor Home ,cursor_home,,,,,,,
0x4F,Auto Transmit Key Presses Off ,auto_transmit_key_presses=,,,,,,,
0x50,Set Contrast ,contrast=,,,,,,,
0x51,Auto Scroll On ,autoscroll=,,,,,,,
0x52,Auto Scroll Off ,autoscroll=,,,,,,,
0x55,Set Debounce Time ,debounce_time=,,,,,,,
0x56,General Purpose Output Off ,gpo_off,,,,,,,
0x57,General Purpose Output On ,gpo_on,,,,,,,
0x58,Clear Screen ,clear_screen,,,,,,,
0x5E,Uploading a Bitmap File ,,,,,,,,
0x60,Auto Repeat Mode Off ,,,,,,,,
0x62,Drawing a Bitmap from Memory ,draw_bitmap,,,,,,,
0x63,Set Drawing Color ,drawing_color=,,,,,,,
0x64,Draw a Bitmap Directly ,,,,,,,,
0x65,Continue a Line ,draw_line_continue,,,,,,,
0x67,Initialising a Bar Graph ,,,,,,,,
0x69,Drawing a Bar Graph ,,,,,,,,
0x6A,Initialising a Strip Chart ,,,,,,,,
0x6B,Shifting a Strip Chart ,,,,,,,,
0x6C,Drawing a Line ,draw_line,,,,,,,
0x70,Draw Pixel ,draw_pixel,,,,,,,
0x72,Draw a Rectangle ,draw_rect,,,,,,,
0x78,Drawing a Solid Rectangle ,draw_solid_rect,,,,,,,
0x79,Setting the Cursor Coordinate ,cursor_coordinate=,,,,,,,
0x7E,Set Auto Repeat Mode ,,,,,,,,
0x91,Set and Save Contrast ,save_contrast,,,,,,,
0x93,Set Remember ,,,,,,,,
0x98,Set and Save Brightness ,save_brightness,,,,,,,
0x99,Set Brightness ,brightness=,,,,,,,
0xA4,Setting a Non-Standard Baud Rate ,,,,,,,,
0xAC,Set Box Space Mode ,,,,,,,,
0xAD,Deleting a File ,delete_bitmap; delete_font,,,,,,,
0xAF,Get Filesystem Space ,filesystem_space,,,,,,,
0xB0,Filesystem Upload ,,,,,,,,
0xB2,Downloading a File ,,,,,,,,
0xB3,Get Filesystem Directory ,filesystem_directory,,,,,,,
0xB4,Moving a File ,,,,,,,,
0xC3,Set Startup GPO state ,,,,,,,,
0xCA,Data Lock,,,,,,,,
